Product Name,Description,Price,Images
MAQUETTE BATEAU EN BOIS : MARE NOSTRUM - Artesania,"Maquette en bois - Mare Nostrum. Le Mare Nostrum est un bateau de pêche typique de la Méditerrannée, et plus particulièrement de la Costa Brava. Son montage simple et sa beauté font du Mare Nostrum un modèle idéal pour tout débutant ou nostalgique. Largeur : 10.50 cm Longueur : 41.00 cm

Référence Artesania-20100-N
Marque Artesania
Code Article ART0000064436
Age recommandé + de 15 ans
Echelle 1:35
Matière Maquettes en Bois
Dimension emballage 44 x 36 x 5 cm
Poids 1032 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",79€99,"50264/p1_FULL.jpg, 50264/p2_FULL.jpg, 50264/p3_FULL.jpg"
MAQUETTE BATEAU EN BOIS : MARIE JEANNE - Artesania,"Construisez la maquette redessinée à l'échelle au 1/50 en bois du Marie Jeanne de 2022, le précieux et traditionnel thonier français.
Guidés par les instructions multimédias étape par étape très détaillées au format DVD pour ordinateurs, les modélistes peuvent désormais assembler avec précision leur réplique de ce merveilleux bateau de pêche gaulois.
Aucune instruction imprimée n'est incluse.
Ce kit de modélisme naval en bois s'adresse à ceux qui ont un niveau initié de connaissances de base des outils et des matériaux, ainsi qu'à ceux qui souhaitent un premier contact avec celui-ci et travaux de gréement.
La nouveau maquette navale du thonier Marie Jeanne dispose de pièces de haute qualité pour l'assemblage, elles s'emboîtent parfaitement : planche prédécoupée par laser de haute précision, bois nobles, pièces photodécoupées, laiton et die-cast, ainsi que des voiles en coton coupées et cousues à la main prêtes à être placées. En bonus cadeau, ce kit de modélisme naval comprend un socle en bois avec une plaque nominative en métal afin que la fidèle réplique miniature soit parfaitement exposée une fois assemblée. Le modéliste peut profiter d'une expérience d'assemblage beaucoup plus agréable et facile avec ce nouveau modèle réduit.
Une fois assemblé, le modèle en bois de Marie Jeanne mesure 565 mm de long, 115 mm de large et 495 mm de haut.

Référence Artesania-22175
Marque Artesania
Code Article ART0000207182
Age recommandé + de 15 ans
Echelle 1:50
Matière Maquettes en Bois
Dimension article 56 x 31,50 x 51 cm
Dimension emballage 27 x 47 x 4 cm
Poids 1086 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",91€99,"460226/p1_FULL.jpg, 460226/p2_FULL.jpg, 460226/p3_FULL.jpg, 460226/p4_FULL.jpg, 460226/p5_FULL.jpg, 460226/p6_FULL.jpg, 460226/p7_FULL.jpg, 460226/p8_FULL.jpg, 460226/p9_FULL.jpg, 460226/p10_FULL.jpg, 460226/p11_FULL.jpg, 460226/p12_FULL.jpg, 460226/p13_FULL.jpg"
MAQUETTE BATEAU EN BOIS : PROVIDENCE - Artesania,"Maquette en bois - Providence Baleinière de Nouvelle Angleterre. Comment pouvaient six hommes résister à une mer déchainée et à une baleine blessée dans une si petite embarcation? En fait, seuls le sous-officier et l'harponneur faisaient face au danger tandis que les autres ramaient dos au monstre. Construisez la baleinière qui aurait pu chasser Moby Dick ! Largeur : 7.80 cm Longueur : 31.00 cm

Référence Artesania-19018
Marque Artesania
Code Article ART0000056827
Age recommandé + de 15 ans
Echelle 1:25
Matière Maquettes en Bois
Dimension emballage 28 x 36 x 6 cm
Poids 642 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",59€99,76300/p1.jpg
MAQUETTE BATEAU EN BOIS : ADRIANA - Disarmodel,"Construisez cette maquette de bateau en bois d'un bateau traditionnel de méditerranée à l'échelle 1/10. L'Almajera de la Méditerranée est un bateau traditionnel des côtes de la méditerranée, construit en bois, qui était principalement consacré à la pêche de palourde. Longueur de la maquette : 470 mm. Largeur de la maquette : 180 mm Hauteur de la maquette : 600 mm. Niveau de difficulté : Initié.

Référence Disar-20147
Marque Disarmodel
Code Article ART0000185057
Age recommandé + de 15 ans
Provenance Espagne
Echelle 1:10
Matière Maquettes en Bois
Dimension article 47 x 18 x 60 cm
Dimension emballage 30 x 58 x 7 cm
Poids 1652 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",93€99,"182507/p1_FULL.jpg, 182507/p2_FULL.jpg"
MAQUETTE BATEAU : COFFRET CADEAU BATTLE OF TRAFALGAR - Revell,"Maquette en plastique à monter, à coller et à peindre d'un vaisseau de la Bataille de Trafalgar. Échelle : 1/225. Longueur : 40 cm. Hauteur : 33 cm. Nombre de pièces : 269. Niveau de difficulté : 4. Coffret livré avec colle, peintures principales et pinceau en coffret cadeau.

Référence Revell-05767
Marque Revell
Code Article ART0000131120
Age recommandé + de 12 ans
Echelle 1:225
Matière Plastique
Dimension emballage 50 x 36 x 9 cm
Poids 769 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 12 ans",34€89,"140254/p1_FULL.jpg, 140254/p2_FULL.jpg"
MAQUETTE BATEAU EN BOIS : SAMPANG - Amati,"Assemblez cette sublime maquette de bateau en bois chinois un Sampang de la marque Amati.
Le Sampang est une embarcation utilisée en Mer de Chine pour la pêche ou le transport de marchandises légères.
Caractéristiques :Quille et membrures prédécoupées ; accessoires en bois et métal ; voiles en toile de bâche.
Longueur de la maquette : 34 cm.
Notice en français incluse

Référence Amati-B1561
Marque Amati
Code Article ART0000190907
Age recommandé + de 15 ans
Dimension article 34 cm
Dimension emballage 24 x 43 x 6 cm
Poids 570 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",54€99,"359444/p1_FULL.jpg, 359444/p2_FULL.jpg, 359444/p3_FULL.jpg, 359444/p4_FULL.jpg, 359444/p5_FULL.jpg"
MAQUETTE BATEAU EN BOIS : L'HERMIONE LA FAYETTE - Artesania,"Construisez cette magnifique réplique à l'échelle 1/89 de la Frégate de la Liberté du marquis de La Fayette ! Le 21 mars 1780, à Rochefort, le jeune Marquis de La Fayette embarque à bord de l'Hermione pour prendre part à la Guerre d'Indépendance aux côtés des insurgents américains. En 1997, sous l´égide de l´Association Hermione La Fayette, une réplique de l'Hermione est mise en chantier dans le même arsenal maritime et militaire que son glorieux modèle. Pendant 18 ans, charpentiers, menuisiers, forgerons, voiliers, gréeurs, sculpteurs de marine et des centaines de bénévoles ont travaillé sous les yeux du public jusqu'à faire revivre ce navire splendide, symbole de l'amitié franco-américaine. Au printemps 2015, l'Hermione a de nouveau pris la mer pour rejoindre les côtés américaine et canadienne où elle a été reçue avec toute sortes d´honneurs. Ce coffret comprend : - une maquette à assembler avec des pièces en bois découpées au laser et des finitions en bois et métal - des voiles cousues - un socle d'exposition - une notice de montage pas-à-pas en format multimédia (plus de 2000 photos en couleurs et de plusieurs vidéos de techniques et astuces). Dimensions de la maquette assemblée : L75 x l28.4 x H59.1 cm. Dimensions de la boîte : 61 x 30 x 6 cm.

Référence Artesania-22517-N
Marque Artesania
Code Article ART0000135869
Age recommandé + de 15 ans
Echelle 1:89
Matière Maquettes en Bois
Dimension emballage 61 x 30 x 6 cm
Poids 2000 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",219€70,"140705/p1_FULL.jpg, 140705/p2_FULL.jpg"
MAQUETTE BATEAU EN BOIS : L'HERMIONE LA FAYETTE - Disarmodel,"Construisez cette magnifique réplique à l'échelle 1/72 de la Frégate de la Liberté du marquis de La Fayette  !
Le 21 mars 1780, à Rochefort, le jeune Marquis de La Fayette embarque à bord de l'Hermione pour prendre part à la Guerre d'Indépendance aux côtés des insurgents américains. En 1997, sous l´égide de l´Association Hermione La Fayette, une réplique de l'Hermione est mise en chantier dans le même arsenal maritime et militaire que son glorieux modèle. Pendant 18 ans, charpentiers, menuisiers, forgerons, voiliers, gréeurs, sculpteurs de marine et des centaines de bénévoles ont travaillé sous les yeux du public jusqu'à faire revivre ce navire splendide, symbole de l'amitié franco-américaine. Au printemps 2015, l'Hermione a de nouveau pris la mer pour rejoindre les côtés américaine et canadienne où elle a été reçue avec toute sortes d´honneurs. La frégate est visitable à Rochefort son port d'attache.
Ce coffret maquettes comprend :
- une maquette en bois à assembler
- des voiles cousues
- une notice de montage en papier.
Dimensions de la maquette assemblée : L93 x l32 x H72 cm.

Référence Disarmodel-20173
Marque Disarmodel
Code Article ART0000192267
Age recommandé + de 15 ans
Provenance Espagne
Echelle 1:72
Matière Maquettes en Bois
Dimension article 93 x 72 x 32 cm
Dimension emballage 65 x 31 x 7 cm
Poids 4000 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",231€19,"376668/p1_FULL.jpg, 376668/p2_FULL.jpg"
MAQUETTE BATEAU EN BOIS: LE BÉLEM - Artesania,"Une maquette en bois à l'échelle 1/75 à l'effigie du célèbre Bélem ! Construit à Nantes en 1896, Le Bélem est un des plus plus anciens trois-mâts en Europe encore en état de navigation. Entièrement restauré dans les années 70, il est aujourd'hui utilisé dans des stages d'initiation à la voile et participe à des rassemblements de vieux gréements. Il a été classé au titre des monuments historiques en 1984. Nombre de pièces : +1300. Niveau de difficulté: 3/4. Pièces en photo-découpes. Inclus : - accastillage - voiles cousues - socle en bois avec le nom du bateau et l'année de construction (1896) - DVD avec conseils, astuces et une centaine de photos pas à pas Dimensions de la maquette assemblée : L80.6 x l25.6 x H54 cm.

Référence Artesania-22519
Marque Artesania
Code Article ART0000175401
Age recommandé + de 15 ans
Echelle 1:75
Matière Maquettes en Bois
Dimension article 80,60 x 25,60 x 54 cm
Dimension emballage 31 x 62 x 6 cm
Poids 2260 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",228€85,"160709/p1_FULL.jpg, 160709/p2_FULL.jpg, 160709/p3_FULL.jpg"
MAQUETTE BATEAU EN BOIS :LE MARTEGAOU - Billing boats,"Maquette en bois à assembler de la marque Billing Boat représentant Le Martegaou.
Le Martegaou était un bateau à fond plat venu de Provence. Des bateaux de ce type étaient couramment utilisés le long du Rhône pour le transport du bois de construction, des tuiles d'Arles et du fourrage.
Les pistes ont finalement été étendues pour inclure les côtes méridionales de la France. Les bateaux ont cependant disparu à mesure que le transport ferroviaire se généralisait.
Échelle : 1/80.
Dimensions de la maquette assemblée : 41 x 10 x 41 cm (L x l x H).

Référence Billing-428836
Marque Billing boats
Code Article ART0000200009
Age recommandé + de 15 ans
Echelle 1:80
Matière Maquettes en Bois
Dimension article 41 x 10 x 41 cm
Dimension emballage 25 x 38 x 6 cm
Poids 585 g
Sécurité Attention ! Ne peut être utilisé par des enfants de moins de 15 ans",65€99,"434387/p1_FULL.jpg, 434387/p2_FULL.jpg, 434387/p3_FULL.jpg, 434387/p4_FULL.jpg, 434387/p5_FULL.jpg, 434387/p6_FULL.jpg, 434387/p7_FULL.jpg, 434387/p8_FULL.jpg, 434387/p9_FULL.jpg, 434387/p10_FULL.jpg"
